Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
6118.  ,Andrew Kellaway             ,172  ,78   ,0    ,94   ,45.35    ,RI
6119.  ,Jeff White                  ,268  ,121  ,1    ,146  ,45.34    ,FR/ME
6120.  ,Bob Brooker                 ,107  ,48   ,1    ,58   ,45.33    ,NM
6121.  ,Peter Caven                 ,139  ,63   ,0    ,76   ,45.32    ,FI/SY/AD
6122.  ,Adrian Campbell             ,32   ,14   ,1    ,17   ,45.31    ,WB/ME
6123.  ,Sam Kekovich                ,128  ,57   ,2    ,69   ,45.31    ,NM/CW
6124.  ,John Hoiles                 ,117  ,53   ,0    ,64   ,45.30    ,WB
6125.  ,Brendon Gale                ,244  ,110  ,1    ,133  ,45.29    ,RI
6126.  ,Alby Linton                 ,53   ,24   ,0    ,29   ,45.28    ,WB
6127.  ,Jade Rawlings               ,148  ,67   ,0    ,81   ,45.27    ,HW/WB/NM
6128.  ,Rod Watt                    ,21   ,9    ,1    ,11   ,45.24    ,ES
6129.  ,Keith Batchelor             ,42   ,19   ,0    ,23   ,45.24    ,CW/NM
6130.  ,Kevin Darrigan              ,42   ,19   ,0    ,23   ,45.24    ,CW/FI
6131.  ,Robert McKenzie             ,42   ,19   ,0    ,23   ,45.24    ,ME
6132.  ,Paddy Walsh                 ,115  ,51   ,2    ,62   ,45.22    ,ES
6133.  ,Adam Houlihan               ,94   ,42   ,1    ,51   ,45.21    ,GE/RI
6134.  ,William Young               ,94   ,42   ,1    ,51   ,45.21    ,SK
6135.  ,Nathan Brown                ,146  ,66   ,0    ,80   ,45.21    ,ME
6136.  ,Andrew Leoncelli            ,146  ,66   ,0    ,80   ,45.21    ,ME
6137.  ,Ray Smith                   ,104  ,47   ,0    ,57   ,45.19    ,ES/ME
6138.  ,Frank Curcio                ,249  ,111  ,3    ,135  ,45.18    ,FI
6139.  ,Geoff Wilson                ,31   ,14   ,0    ,17   ,45.16    ,HW
6140.  ,Tom Simpkin                 ,31   ,14   ,0    ,17   ,45.16    ,SK
6141.  ,Len Stott                   ,62   ,27   ,2    ,33   ,45.16    ,FI
6142.  ,Michael Gale                ,196  ,88   ,1    ,107  ,45.15    ,FI/RI
6143.  ,Stuart Wigney               ,72   ,32   ,1    ,39   ,45.14    ,WB/SY/AD/RI
6144.  ,Ray Usher                   ,82   ,36   ,2    ,44   ,45.12    ,ME
6145.  ,Barry Round                 ,328  ,147  ,2    ,179  ,45.12    ,WB/SY
6146.  ,Travis Boak                 ,174  ,78   ,1    ,95   ,45.11    ,PA
6147.  ,Bert Parke                  ,51   ,23   ,0    ,28   ,45.10    ,CA/ME
6148.  ,Jack Smith                  ,51   ,22   ,2    ,27   ,45.10    ,ME
6149.  ,Alf Egan                    ,51   ,23   ,0    ,28   ,45.10    ,CA/NM
6150.  ,Jock Spencer                ,153  ,69   ,0    ,84   ,45.10    ,NM
6151.  ,Shane Molloy                ,61   ,27   ,1    ,33   ,45.08    ,FI
6152.  ,Rodney Maynard              ,81   ,36   ,1    ,44   ,45.06    ,AD
6153.  ,Stewart Geddes              ,91   ,40   ,2    ,49   ,45.05    ,ME/SK
6154.  ,John Scarlett               ,212  ,95   ,1    ,116  ,45.05    ,GE/SY
6155.  ,Roy Files                   ,10   ,4    ,1    ,5    ,45.00    ,NM
6156.  ,Sam McMichael               ,10   ,4    ,1    ,5    ,45.00    ,FI
6157.  ,Ray Murphy                  ,20   ,9    ,0    ,11   ,45.00    ,NM
6158.  ,Bob Atkinson                ,20   ,9    ,0    ,11   ,45.00    ,SK/SY
6159.  ,Brian Turner                ,20   ,9    ,0    ,11   ,45.00    ,RI
6160.  ,Ern Rowarth                 ,20   ,9    ,0    ,11   ,45.00    ,ME
6161.  ,George Cathie               ,20   ,9    ,0    ,11   ,45.00    ,HW
6162.  ,Glenn Molloy                ,20   ,9    ,0    ,11   ,45.00    ,ME
6163.  ,Frank Pritchard             ,20   ,9    ,0    ,11   ,45.00    ,CA
6164.  ,Tim Collins                 ,20   ,9    ,0    ,11   ,45.00    ,ME
6165.  ,Algy Millhouse              ,20   ,9    ,0    ,11   ,45.00    ,ME/SK
6166.  ,Russell Dickson             ,20   ,9    ,0    ,11   ,45.00    ,CW
6167.  ,Reg Carr                    ,20   ,9    ,0    ,11   ,45.00    ,FI
6168.  ,Ray Sterrett                ,20   ,9    ,0    ,11   ,45.00    ,GE
6169.  ,Doug Tassell                ,20   ,9    ,0    ,11   ,45.00    ,ES
6170.  ,Kevin Parker                ,20   ,9    ,0    ,11   ,45.00    ,SY
6171.  ,Sid Dockendorff             ,30   ,13   ,1    ,16   ,45.00    ,RI/WB
6172.  ,Ian Monks                   ,30   ,13   ,1    ,16   ,45.00    ,ES/SY
6173.  ,Lloyd Burgmann              ,30   ,13   ,1    ,16   ,45.00    ,ME
6174.  ,Bowen Lockwood              ,50   ,22   ,1    ,27   ,45.00    ,PA
6175.  ,Alf Sampson                 ,60   ,27   ,0    ,33   ,45.00    ,WB
6176.  ,Graeme Robertson            ,60   ,26   ,2    ,32   ,45.00    ,CA/RI
6177.  ,Michael Werner              ,60   ,27   ,0    ,33   ,45.00    ,ES/SY
6178.  ,Brett Johnson               ,70   ,31   ,1    ,38   ,45.00    ,HW/CA
6179.  ,Rupe Brownlees              ,100  ,44   ,2    ,54   ,45.00    ,GE
6180.  ,Peter Daniel                ,100  ,44   ,2    ,54   ,45.00    ,ES
6181.  ,Kevin McMahon               ,119  ,53   ,1    ,65   ,44.96    ,NM
6182.  ,Charlie Young               ,129  ,57   ,2    ,70   ,44.96    ,ME
6183.  ,Clinton King                ,89   ,40   ,0    ,49   ,44.94    ,SY/CW/RI
6184.  ,Luke Darcy                  ,226  ,99   ,5    ,122  ,44.91    ,WB
6185.  ,Gary Colling                ,265  ,117  ,4    ,144  ,44.91    ,SK
6186.  ,Alby Palmer                 ,49   ,22   ,0    ,27   ,44.90    ,GE
6187.  ,Allan Joyce                 ,49   ,22   ,0    ,27   ,44.90    ,HW
6188.  ,Ron Harvey                  ,127  ,56   ,2    ,69   ,44.88    ,FI
