Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
1.     ,Eric Cochran                ,9    ,9    ,0    ,0    ,100.00   ,CA
2.     ,Brian Dunsford              ,7    ,7    ,0    ,0    ,100.00   ,ME
3.     ,Jack Galbally               ,7    ,7    ,0    ,0    ,100.00   ,CW
4.     ,Billy Gill                  ,7    ,7    ,0    ,0    ,100.00   ,GE
5.     ,Henry Anderson              ,6    ,6    ,0    ,0    ,100.00   ,FI
6.     ,Geoff Barber                ,5    ,5    ,0    ,0    ,100.00   ,ES
7.     ,Alan Shaw                   ,5    ,5    ,0    ,0    ,100.00   ,ES
8.     ,Len Delfs                   ,5    ,5    ,0    ,0    ,100.00   ,SY
9.     ,Jock Morison                ,5    ,5    ,0    ,0    ,100.00   ,CW
10.    ,George Shaw                 ,5    ,5    ,0    ,0    ,100.00   ,FI
11.    ,Ray Jamieson                ,5    ,5    ,0    ,0    ,100.00   ,SY
12.    ,Garry Wheeler               ,5    ,5    ,0    ,0    ,100.00   ,WB
13.    ,Noel Mewett                 ,5    ,5    ,0    ,0    ,100.00   ,CA
14.    ,Ian Graham                  ,5    ,5    ,0    ,0    ,100.00   ,ES
15.    ,Roy Rawlings                ,4    ,4    ,0    ,0    ,100.00   ,WB
16.    ,George Watson               ,4    ,4    ,0    ,0    ,100.00   ,FI
17.    ,Eddie Ford                  ,4    ,4    ,0    ,0    ,100.00   ,RI
18.    ,Richie Thomas               ,4    ,4    ,0    ,0    ,100.00   ,ES
19.    ,Ray Quinn                   ,4    ,4    ,0    ,0    ,100.00   ,CA
20.    ,Herb Boschen                ,4    ,4    ,0    ,0    ,100.00   ,SY
21.    ,Allan Hope                  ,4    ,4    ,0    ,0    ,100.00   ,ME
22.    ,Wally Edward                ,4    ,4    ,0    ,0    ,100.00   ,ES
23.    ,Rupe Benstead               ,4    ,4    ,0    ,0    ,100.00   ,ES
24.    ,Shane Crothers              ,4    ,4    ,0    ,0    ,100.00   ,GE
25.    ,Wally Koochew               ,4    ,4    ,0    ,0    ,100.00   ,CA
26.    ,Jim Neylan                  ,4    ,4    ,0    ,0    ,100.00   ,FI/CA
27.    ,Con Kennedy                 ,4    ,4    ,0    ,0    ,100.00   ,ES
28.    ,Mac Armstrong               ,4    ,4    ,0    ,0    ,100.00   ,GE
29.    ,Peter Marshall              ,4    ,4    ,0    ,0    ,100.00   ,CW
30.    ,Rory Atkins                 ,4    ,4    ,0    ,0    ,100.00   ,AD
31.    ,Dan Robinson                ,4    ,4    ,0    ,0    ,100.00   ,SY
32.    ,Josh Cowan                  ,4    ,4    ,0    ,0    ,100.00   ,GE
33.    ,Jarryd Allen                ,4    ,4    ,0    ,0    ,100.00   ,SK
34.    ,Peter Warburton             ,4    ,4    ,0    ,0    ,100.00   ,CA
35.    ,Bob Wilson                  ,4    ,4    ,0    ,0    ,100.00   ,ES
36.    ,Ron Critchley               ,3    ,3    ,0    ,0    ,100.00   ,HW
37.    ,Les Gregory                 ,3    ,3    ,0    ,0    ,100.00   ,SK
38.    ,Ben Crameri                 ,3    ,3    ,0    ,0    ,100.00   ,ME
39.    ,Jim McColl                  ,3    ,3    ,0    ,0    ,100.00   ,ES
40.    ,Jim Shaw                    ,3    ,3    ,0    ,0    ,100.00   ,ME
41.    ,Dick Bryar                  ,3    ,3    ,0    ,0    ,100.00   ,ES
42.    ,Jack Cooper                 ,3    ,3    ,0    ,0    ,100.00   ,CA
43.    ,Don Chipp                   ,3    ,3    ,0    ,0    ,100.00   ,FI
44.    ,Bert James                  ,3    ,3    ,0    ,0    ,100.00   ,RI
45.    ,Max Glass                   ,3    ,3    ,0    ,0    ,100.00   ,SY
46.    ,Arthur Clements             ,3    ,3    ,0    ,0    ,100.00   ,HW
47.    ,Bruce Bridges               ,3    ,3    ,0    ,0    ,100.00   ,FI
48.    ,Harcourt Dowsley            ,3    ,3    ,0    ,0    ,100.00   ,CA
49.    ,Arthur Turner               ,3    ,3    ,0    ,0    ,100.00   ,SY
50.    ,Roy Kline                   ,3    ,3    ,0    ,0    ,100.00   ,SK
51.    ,Tom Green                   ,3    ,3    ,0    ,0    ,100.00   ,HW
52.    ,Jack Lyons                  ,3    ,3    ,0    ,0    ,100.00   ,GE
53.    ,Roy Selleck                 ,3    ,3    ,0    ,0    ,100.00   ,SY
54.    ,Charlie Ahern               ,3    ,3    ,0    ,0    ,100.00   ,CW
55.    ,Alf Sparks                  ,3    ,3    ,0    ,0    ,100.00   ,CW
56.    ,Reg Boyle                   ,3    ,3    ,0    ,0    ,100.00   ,CW
57.    ,Charles Smith               ,3    ,3    ,0    ,0    ,100.00   ,RI
58.    ,Jack OConnor                ,3    ,3    ,0    ,0    ,100.00   ,CW
59.    ,Vernon Carkeek              ,3    ,3    ,0    ,0    ,100.00   ,CW
60.    ,George Goodall              ,3    ,3    ,0    ,0    ,100.00   ,CW
61.    ,Charlie Hay                 ,3    ,3    ,0    ,0    ,100.00   ,CA/ES
62.    ,Francis Biehl               ,3    ,3    ,0    ,0    ,100.00   ,SY
63.    ,Robert Di Rosa              ,3    ,3    ,0    ,0    ,100.00   ,GE
64.    ,Tom Nelson                  ,3    ,3    ,0    ,0    ,100.00   ,CW
65.    ,Jim Smith                   ,3    ,3    ,0    ,0    ,100.00   ,SY
66.    ,Edgar Yeomans               ,3    ,3    ,0    ,0    ,100.00   ,CA
67.    ,Johnny Dunn                 ,3    ,3    ,0    ,0    ,100.00   ,CW
68.    ,Bill Fahey                  ,3    ,3    ,0    ,0    ,100.00   ,SY
69.    ,Herb Hunter                 ,3    ,3    ,0    ,0    ,100.00   ,ES
70.    ,Bobby Royle                 ,3    ,3    ,0    ,0    ,100.00   ,ME
71.    ,Jimmy Thurgood              ,3    ,3    ,0    ,0    ,100.00   ,ES
72.    ,Shawn Lewfatt               ,3    ,3    ,0    ,0    ,100.00   ,ES
73.    ,Sam Grimley                 ,3    ,3    ,0    ,0    ,100.00   ,HW
74.    ,Kirk Ugle                   ,3    ,3    ,0    ,0    ,100.00   ,CW
75.    ,Jarrhan Jacky               ,3    ,3    ,0    ,0    ,100.00   ,AD
76.    ,Will Hamill                 ,3    ,3    ,0    ,0    ,100.00   ,BL
77.    ,Ben Robertson               ,3    ,3    ,0    ,0    ,100.00   ,CA
78.    ,Rohan Smith                 ,3    ,3    ,0    ,0    ,100.00   ,SK
79.    ,Robb Hawkins                ,3    ,3    ,0    ,0    ,100.00   ,GE
80.    ,Lex Pritchard               ,3    ,3    ,0    ,0    ,100.00   ,CW
81.    ,John Parkinson              ,3    ,3    ,0    ,0    ,100.00   ,CW
82.    ,Bill Gerrand                ,3    ,3    ,0    ,0    ,100.00   ,SK
83.    ,Trevor Randall              ,2    ,2    ,0    ,0    ,100.00   ,HW
84.    ,Peter Hayes                 ,2    ,2    ,0    ,0    ,100.00   ,CW
85.    ,Bill Armstrong              ,2    ,2    ,0    ,0    ,100.00   ,CA
86.    ,Tony Heath                  ,2    ,2    ,0    ,0    ,100.00   ,CW
87.    ,Barry Beitzel               ,2    ,2    ,0    ,0    ,100.00   ,CA
88.    ,Alan Jewell                 ,2    ,2    ,0    ,0    ,100.00   ,HW
89.    ,Ken Reed                    ,2    ,2    ,0    ,0    ,100.00   ,ES
90.    ,Alby Outen                  ,2    ,2    ,0    ,0    ,100.00   ,WB
91.    ,Keith Thomas                ,2    ,2    ,0    ,0    ,100.00   ,SY
92.    ,Ray Millington              ,2    ,2    ,0    ,0    ,100.00   ,FI
93.    ,Barrie Brown                ,2    ,2    ,0    ,0    ,100.00   ,RI
94.    ,Ivan Clues                  ,2    ,2    ,0    ,0    ,100.00   ,CW
95.    ,Allan Reid                  ,2    ,2    ,0    ,0    ,100.00   ,GE
96.    ,Brian Willis                ,2    ,2    ,0    ,0    ,100.00   ,WB
97.    ,Neale Rutzou                ,2    ,2    ,0    ,0    ,100.00   ,GE
98.    ,Ray Jones                   ,2    ,2    ,0    ,0    ,100.00   ,GE
99.    ,Adam Richardson             ,2    ,2    ,0    ,0    ,100.00   ,AD
100.   ,Arthur Fitt                 ,2    ,2    ,0    ,0    ,100.00   ,FI
101.   ,Frank Drum                  ,2    ,2    ,0    ,0    ,100.00   ,RI
102.   ,Claude Anderson             ,2    ,2    ,0    ,0    ,100.00   ,SY
103.   ,Jack Harrow                 ,2    ,2    ,0    ,0    ,100.00   ,FI
104.   ,Ken Collicoat               ,2    ,2    ,0    ,0    ,100.00   ,ES
105.   ,Len OShea                   ,2    ,2    ,0    ,0    ,100.00   ,SY
106.   ,Tony Bizzaca                ,2    ,2    ,0    ,0    ,100.00   ,ME
107.   ,Neil Bencraft               ,2    ,2    ,0    ,0    ,100.00   ,ME
108.   ,Clive Smith                 ,2    ,2    ,0    ,0    ,100.00   ,NM
109.   ,Merv Brooks                 ,2    ,2    ,0    ,0    ,100.00   ,FI
110.   ,Tom McMahon                 ,2    ,2    ,0    ,0    ,100.00   ,WB
111.   ,Reg Morgan                  ,2    ,2    ,0    ,0    ,100.00   ,CA
112.   ,Keith Forsyth               ,2    ,2    ,0    ,0    ,100.00   ,ES
113.   ,Ted Besford                 ,2    ,2    ,0    ,0    ,100.00   ,FI
114.   ,John Flint                  ,2    ,2    ,0    ,0    ,100.00   ,WB
115.   ,Geoff McNaughton            ,2    ,2    ,0    ,0    ,100.00   ,ME
116.   ,Ralph Taylor                ,2    ,2    ,0    ,0    ,100.00   ,HW
117.   ,Frank Kendrick              ,2    ,2    ,0    ,0    ,100.00   ,SY
118.   ,Bill Wisdom                 ,2    ,2    ,0    ,0    ,100.00   ,RI
119.   ,Fred Crapper                ,2    ,2    ,0    ,0    ,100.00   ,RI
120.   ,Bruce Gotz                  ,2    ,2    ,0    ,0    ,100.00   ,SK
121.   ,Glenn Gorman                ,2    ,2    ,0    ,0    ,100.00   ,NM
122.   ,Keith Giffen                ,2    ,2    ,0    ,0    ,100.00   ,FI
123.   ,Mick Higgins                ,2    ,2    ,0    ,0    ,100.00   ,WB
124.   ,Tom Tucker                  ,2    ,2    ,0    ,0    ,100.00   ,CW
125.   ,Ken Rosewarne               ,2    ,2    ,0    ,0    ,100.00   ,CW
126.   ,Fred Brooks                 ,2    ,2    ,0    ,0    ,100.00   ,CA
127.   ,Colin Jackson               ,2    ,2    ,0    ,0    ,100.00   ,ME
128.   ,Percy Jones                 ,2    ,2    ,0    ,0    ,100.00   ,GE
129.   ,Les Thomas                  ,2    ,2    ,0    ,0    ,100.00   ,CW
130.   ,Trevor Rowlands             ,2    ,2    ,0    ,0    ,100.00   ,CW
131.   ,Bill Downie                 ,2    ,2    ,0    ,0    ,100.00   ,CA
132.   ,Dick Wilkinson              ,2    ,2    ,0    ,0    ,100.00   ,WB
133.   ,Frank Richardson            ,2    ,2    ,0    ,0    ,100.00   ,ME
134.   ,Gordon Davie                ,2    ,2    ,0    ,0    ,100.00   ,CW
135.   ,Vin Batchelor               ,2    ,2    ,0    ,0    ,100.00   ,CW
136.   ,Fred Beeson                 ,2    ,2    ,0    ,0    ,100.00   ,FI
137.   ,Max Wright                  ,2    ,2    ,0    ,0    ,100.00   ,ME
138.   ,Herbie Brunning             ,2    ,2    ,0    ,0    ,100.00   ,RI
139.   ,Artie Dillon                ,2    ,2    ,0    ,0    ,100.00   ,CW
140.   ,Bill Kenny                  ,2    ,2    ,0    ,0    ,100.00   ,SY
141.   ,Artie Fewster               ,2    ,2    ,0    ,0    ,100.00   ,RI
142.   ,Alwyn Davies                ,2    ,2    ,0    ,0    ,100.00   ,SK
143.   ,Norm Byron                  ,2    ,2    ,0    ,0    ,100.00   ,FI
144.   ,Sydney Strong               ,2    ,2    ,0    ,0    ,100.00   ,SY
145.   ,Percy Yates                 ,2    ,2    ,0    ,0    ,100.00   ,CW
146.   ,Jack OBrien                 ,2    ,2    ,0    ,0    ,100.00   ,SY
147.   ,George Driscoll             ,2    ,2    ,0    ,0    ,100.00   ,RI
148.   ,Dick Fitzgerald             ,2    ,2    ,0    ,0    ,100.00   ,SY
149.   ,Jack Loughnan               ,2    ,2    ,0    ,0    ,100.00   ,CA/FI
150.   ,Frank Comer                 ,2    ,2    ,0    ,0    ,100.00   ,SY
151.   ,Bert Cowley                 ,2    ,2    ,0    ,0    ,100.00   ,CA
152.   ,Jim Moore                   ,2    ,2    ,0    ,0    ,100.00   ,ME/ES
153.   ,Jim Tumilty                 ,2    ,2    ,0    ,0    ,100.00   ,CA
154.   ,Jack Wood                   ,2    ,2    ,0    ,0    ,100.00   ,ES
155.   ,John Cunningham             ,2    ,2    ,0    ,0    ,100.00   ,GE
156.   ,Ernie Bailes                ,2    ,2    ,0    ,0    ,100.00   ,CW
157.   ,Artie Bowe                  ,2    ,2    ,0    ,0    ,100.00   ,ES
158.   ,Joe Bourke                  ,2    ,2    ,0    ,0    ,100.00   ,RI
159.   ,George Rankine              ,2    ,2    ,0    ,0    ,100.00   ,RI
160.   ,Leo Duff                    ,2    ,2    ,0    ,0    ,100.00   ,SK
161.   ,Wal Grant                   ,2    ,2    ,0    ,0    ,100.00   ,CA
162.   ,Jimmy Luff                  ,2    ,2    ,0    ,0    ,100.00   ,FI
163.   ,Sonny Douglas               ,2    ,2    ,0    ,0    ,100.00   ,FI
164.   ,Bob Burns                   ,2    ,2    ,0    ,0    ,100.00   ,CW
165.   ,Bill Ayling                 ,2    ,2    ,0    ,0    ,100.00   ,CW
166.   ,Charlie Martin              ,2    ,2    ,0    ,0    ,100.00   ,FI
167.   ,Jack Sullivan               ,2    ,2    ,0    ,0    ,100.00   ,ES
168.   ,Harry Ford                  ,2    ,2    ,0    ,0    ,100.00   ,ES
169.   ,Don Lord                    ,2    ,2    ,0    ,0    ,100.00   ,GE
170.   ,Alf Chapman                 ,2    ,2    ,0    ,0    ,100.00   ,SY
171.   ,Harry Graham                ,2    ,2    ,0    ,0    ,100.00   ,ME
172.   ,Albert Walsh                ,2    ,2    ,0    ,0    ,100.00   ,CW
173.   ,Jimmy Ryan                  ,2    ,2    ,0    ,0    ,100.00   ,CW
174.   ,Jack Denning                ,2    ,2    ,0    ,0    ,100.00   ,CW
175.   ,Jack Mulcahy                ,2    ,2    ,0    ,0    ,100.00   ,FI
176.   ,Dave Hutchison              ,2    ,2    ,0    ,0    ,100.00   ,SY
177.   ,Charlie Doherty             ,2    ,2    ,0    ,0    ,100.00   ,FI
178.   ,Pos Watson                  ,2    ,2    ,0    ,0    ,100.00   ,ES
179.   ,David Round                 ,2    ,2    ,0    ,0    ,100.00   ,WB
180.   ,Ned Moran                   ,2    ,2    ,0    ,0    ,100.00   ,GE
181.   ,Dave Ferguson               ,2    ,2    ,0    ,0    ,100.00   ,ES
182.   ,Fred Blackham               ,2    ,2    ,0    ,0    ,100.00   ,ME
183.   ,Matthew Spencer             ,2    ,2    ,0    ,0    ,100.00   ,GE
184.   ,Neville Forge               ,2    ,2    ,0    ,0    ,100.00   ,SY
185.   ,Jason Bevan                 ,2    ,2    ,0    ,0    ,100.00   ,CW
186.   ,Christopher Hall            ,2    ,2    ,0    ,0    ,100.00   ,PA
187.   ,Troy Johnson                ,2    ,2    ,0    ,0    ,100.00   ,BB
188.   ,Lachie Weller               ,2    ,2    ,0    ,0    ,100.00   ,FR
189.   ,Daniel Howe                 ,2    ,2    ,0    ,0    ,100.00   ,HW
190.   ,Liam McBean                 ,2    ,2    ,0    ,0    ,100.00   ,RI
191.   ,Alex Woodward               ,2    ,2    ,0    ,0    ,100.00   ,HW
192.   ,Michael Apeness             ,2    ,2    ,0    ,0    ,100.00   ,FR
193.   ,Frazer Dale                 ,2    ,2    ,0    ,0    ,100.00   ,CA
194.   ,Jarrad Boumann              ,2    ,2    ,0    ,0    ,100.00   ,HW
195.   ,Nick Winmar                 ,2    ,2    ,0    ,0    ,100.00   ,SK
196.   ,Wade Thompson               ,2    ,2    ,0    ,0    ,100.00   ,PA
197.   ,Adam Cockshell              ,2    ,2    ,0    ,0    ,100.00   ,PA
198.   ,Brett Hungerford            ,2    ,2    ,0    ,0    ,100.00   ,GE
199.   ,Simon Taylor                ,2    ,2    ,0    ,0    ,100.00   ,CW
200.   ,Jamie Shaw                  ,2    ,2    ,0    ,0    ,100.00   ,FI
201.   ,Darren Bolden               ,2    ,2    ,0    ,0    ,100.00   ,FI
202.   ,Merv Harbinson              ,2    ,2    ,0    ,0    ,100.00   ,ES
203.   ,Anton Grbac                 ,2    ,2    ,0    ,0    ,100.00   ,ES
204.   ,Robert Dutton               ,2    ,2    ,0    ,0    ,100.00   ,CA/HW
205.   ,Craig Hoyer                 ,2    ,2    ,0    ,0    ,100.00   ,HW
206.   ,Victor Hugo                 ,2    ,2    ,0    ,0    ,100.00   ,SY
207.   ,Michael Jez                 ,2    ,2    ,0    ,0    ,100.00   ,CA
208.   ,Graeme Spark                ,2    ,2    ,0    ,0    ,100.00   ,HW
209.   ,Russell Donaldson           ,2    ,2    ,0    ,0    ,100.00   ,HW
210.   ,Malcolm Greenslade          ,2    ,2    ,0    ,0    ,100.00   ,RI
211.   ,Stephen Jolley              ,2    ,2    ,0    ,0    ,100.00   ,HW
212.   ,Mark Slater                 ,2    ,2    ,0    ,0    ,100.00   ,CW
213.   ,Lionel Jacob                ,2    ,2    ,0    ,0    ,100.00   ,NM
214.   ,John Leatham                ,2    ,2    ,0    ,0    ,100.00   ,CA
215.   ,Bob Lane                    ,2    ,2    ,0    ,0    ,100.00   ,CA
216.   ,Allan McDonald              ,2    ,2    ,0    ,0    ,100.00   ,SK
217.   ,Brian Henderson             ,2    ,2    ,0    ,0    ,100.00   ,CA
218.   ,Will Sangster               ,2    ,2    ,0    ,0    ,100.00   ,SY
219.   ,Geoff Kerr                  ,2    ,2    ,0    ,0    ,100.00   ,SK
220.   ,Dave Hughes                 ,2    ,2    ,0    ,0    ,100.00   ,SK
221.   ,Graeme McArthur             ,2    ,2    ,0    ,0    ,100.00   ,HW
222.   ,Ron Dean                    ,2    ,2    ,0    ,0    ,100.00   ,RI
223.   ,Ike Ilsley                  ,2    ,2    ,0    ,0    ,100.00   ,SK
224.   ,Bill Stevens                ,2    ,2    ,0    ,0    ,100.00   ,FI
225.   ,Tim Scott                   ,1    ,1    ,0    ,0    ,100.00   ,SY
226.   ,Peter Baker                 ,1    ,1    ,0    ,0    ,100.00   ,ME
227.   ,Paul Sullivan               ,1    ,1    ,0    ,0    ,100.00   ,HW
228.   ,Gavan Moran                 ,1    ,1    ,0    ,0    ,100.00   ,GE
229.   ,Ken Kupsch                  ,1    ,1    ,0    ,0    ,100.00   ,SK
230.   ,Warren Mercer               ,1    ,1    ,0    ,0    ,100.00   ,NM
231.   ,John Stephenson             ,1    ,1    ,0    ,0    ,100.00   ,CA
232.   ,Dave Burt                   ,1    ,1    ,0    ,0    ,100.00   ,CW
233.   ,Barry Metcalfe              ,1    ,1    ,0    ,0    ,100.00   ,HW
234.   ,Geoff Dupuy                 ,1    ,1    ,0    ,0    ,100.00   ,HW
235.   ,Len Carter                  ,1    ,1    ,0    ,0    ,100.00   ,HW
236.   ,Phil Rochow                 ,1    ,1    ,0    ,0    ,100.00   ,FI
237.   ,Jack Clancy                 ,1    ,1    ,0    ,0    ,100.00   ,FI
238.   ,Tom Broadbent               ,1    ,1    ,0    ,0    ,100.00   ,FI
239.   ,Graham Borrack              ,1    ,1    ,0    ,0    ,100.00   ,CW
240.   ,Ron Hoy                     ,1    ,1    ,0    ,0    ,100.00   ,HW
241.   ,Noel Evans                  ,1    ,1    ,0    ,0    ,100.00   ,CA
242.   ,Peter Bevilacqua            ,1    ,1    ,0    ,0    ,100.00   ,CA
243.   ,Keith Schow                 ,1    ,1    ,0    ,0    ,100.00   ,CW
244.   ,Merv Richardson             ,1    ,1    ,0    ,0    ,100.00   ,GE
245.   ,Kevin Blizzard              ,1    ,1    ,0    ,0    ,100.00   ,FI
246.   ,Jack Edwards                ,1    ,1    ,0    ,0    ,100.00   ,WB
247.   ,Ray Crozier                 ,1    ,1    ,0    ,0    ,100.00   ,WB
248.   ,Rodney Slate                ,1    ,1    ,0    ,0    ,100.00   ,SK
249.   ,Don Caudwell                ,1    ,1    ,0    ,0    ,100.00   ,CW
250.   ,Keith McIntosh              ,1    ,1    ,0    ,0    ,100.00   ,ES
251.   ,Bob Gleeson                 ,1    ,1    ,0    ,0    ,100.00   ,RI
252.   ,Mal McGillivray             ,1    ,1    ,0    ,0    ,100.00   ,ES
253.   ,Barry Waters                ,1    ,1    ,0    ,0    ,100.00   ,FI
254.   ,Wally Seitz                 ,1    ,1    ,0    ,0    ,100.00   ,RI
255.   ,Arthur Luke                 ,1    ,1    ,0    ,0    ,100.00   ,GE
256.   ,Vern Wilson                 ,1    ,1    ,0    ,0    ,100.00   ,WB
257.   ,John Ward                   ,1    ,1    ,0    ,0    ,100.00   ,ES
258.   ,Alex Hanton                 ,1    ,1    ,0    ,0    ,100.00   ,CA
259.   ,Norm Reidy                  ,1    ,1    ,0    ,0    ,100.00   ,FI
260.   ,Joe Ashdown                 ,1    ,1    ,0    ,0    ,100.00   ,SK
261.   ,Dick Flynn                  ,1    ,1    ,0    ,0    ,100.00   ,NM
262.   ,Peter McLaren               ,1    ,1    ,0    ,0    ,100.00   ,CW
263.   ,Col Churchett               ,1    ,1    ,0    ,0    ,100.00   ,SY
264.   ,Bill Gregg                  ,1    ,1    ,0    ,0    ,100.00   ,ES
265.   ,Fred Stammers               ,1    ,1    ,0    ,0    ,100.00   ,RI
266.   ,Alan Nutter                 ,1    ,1    ,0    ,0    ,100.00   ,RI
267.   ,Les Neal                    ,1    ,1    ,0    ,0    ,100.00   ,WB
268.   ,Bob Walliker                ,1    ,1    ,0    ,0    ,100.00   ,RI
269.   ,Kevin Crohan                ,1    ,1    ,0    ,0    ,100.00   ,RI
270.   ,George Parker               ,1    ,1    ,0    ,0    ,100.00   ,SK
271.   ,Gordon Green                ,1    ,1    ,0    ,0    ,100.00   ,NM
272.   ,Frank Parker                ,1    ,1    ,0    ,0    ,100.00   ,HW
273.   ,Andy McPartland             ,1    ,1    ,0    ,0    ,100.00   ,ES
274.   ,Jack Keddie                 ,1    ,1    ,0    ,0    ,100.00   ,ES
275.   ,Gerald Tanner               ,1    ,1    ,0    ,0    ,100.00   ,RI
276.   ,Kevin Landrigan             ,1    ,1    ,0    ,0    ,100.00   ,HW
277.   ,Geoff Organ                 ,1    ,1    ,0    ,0    ,100.00   ,GE
278.   ,Jack Malone                 ,1    ,1    ,0    ,0    ,100.00   ,WB
279.   ,Les Watkins                 ,1    ,1    ,0    ,0    ,100.00   ,CA
280.   ,Ingy Norman                 ,1    ,1    ,0    ,0    ,100.00   ,FI
281.   ,Claude Cummings             ,1    ,1    ,0    ,0    ,100.00   ,RI
282.   ,Allan Buchanan              ,1    ,1    ,0    ,0    ,100.00   ,SK
283.   ,Monty Brown                 ,1    ,1    ,0    ,0    ,100.00   ,CA
284.   ,Max McQueen                 ,1    ,1    ,0    ,0    ,100.00   ,HW
285.   ,Frank Uwins                 ,1    ,1    ,0    ,0    ,100.00   ,RI
286.   ,Wallace Mills               ,1    ,1    ,0    ,0    ,100.00   ,SK
287.   ,Cliff Goldstraw             ,1    ,1    ,0    ,0    ,100.00   ,SK
288.   ,Percy Bates                 ,1    ,1    ,0    ,0    ,100.00   ,SK
289.   ,Ron McCann                  ,1    ,1    ,0    ,0    ,100.00   ,CW
290.   ,Jim Pender                  ,1    ,1    ,0    ,0    ,100.00   ,GE
291.   ,Johnny Jennings             ,1    ,1    ,0    ,0    ,100.00   ,SK
292.   ,Eddie Gray                  ,1    ,1    ,0    ,0    ,100.00   ,CW
293.   ,Tommy Boag                  ,1    ,1    ,0    ,0    ,100.00   ,CW
294.   ,Ron Latham                  ,1    ,1    ,0    ,0    ,100.00   ,FI
295.   ,Allan McHardy               ,1    ,1    ,0    ,0    ,100.00   ,ES
296.   ,Jack Wilkinson              ,1    ,1    ,0    ,0    ,100.00   ,SK
297.   ,Wally Tyrrell               ,1    ,1    ,0    ,0    ,100.00   ,CW
298.   ,Albert Downs                ,1    ,1    ,0    ,0    ,100.00   ,CW
299.   ,Noel Burrows                ,1    ,1    ,0    ,0    ,100.00   ,CW
300.   ,Ray Harry                   ,1    ,1    ,0    ,0    ,100.00   ,CA
301.   ,Jack White                  ,1    ,1    ,0    ,0    ,100.00   ,HW
302.   ,Ron Barling                 ,1    ,1    ,0    ,0    ,100.00   ,GE
303.   ,Claude Canaway              ,1    ,1    ,0    ,0    ,100.00   ,FI
304.   ,Jimmy Bates                 ,1    ,1    ,0    ,0    ,100.00   ,ES
305.   ,Tommy Eason                 ,1    ,1    ,0    ,0    ,100.00   ,WB
306.   ,Wally Colliss               ,1    ,1    ,0    ,0    ,100.00   ,ES
307.   ,Alick Black                 ,1    ,1    ,0    ,0    ,100.00   ,SY
308.   ,Ken Bracken                 ,1    ,1    ,0    ,0    ,100.00   ,NM
309.   ,Kevin Scanlan               ,1    ,1    ,0    ,0    ,100.00   ,WB
310.   ,Bob Addison                 ,1    ,1    ,0    ,0    ,100.00   ,WB
311.   ,Eddie Regan                 ,1    ,1    ,0    ,0    ,100.00   ,ES
312.   ,Henry Thomson               ,1    ,1    ,0    ,0    ,100.00   ,CA
313.   ,Teddy Jones                 ,1    ,1    ,0    ,0    ,100.00   ,GE
314.   ,Jock Turner                 ,1    ,1    ,0    ,0    ,100.00   ,ES
315.   ,Roy Cassidy                 ,1    ,1    ,0    ,0    ,100.00   ,SY
316.   ,Noel Peverill               ,1    ,1    ,0    ,0    ,100.00   ,CA
317.   ,Norm Harris                 ,1    ,1    ,0    ,0    ,100.00   ,FI
318.   ,Bob Hall                    ,1    ,1    ,0    ,0    ,100.00   ,FI
319.   ,Jack Cross                  ,1    ,1    ,0    ,0    ,100.00   ,ES
320.   ,Cyril Kent                  ,1    ,1    ,0    ,0    ,100.00   ,CW
321.   ,Henry Powell                ,1    ,1    ,0    ,0    ,100.00   ,FI
322.   ,Fred Kennett                ,1    ,1    ,0    ,0    ,100.00   ,SY
323.   ,Hollington London           ,1    ,1    ,0    ,0    ,100.00   ,ME
324.   ,Archie Whitfield            ,1    ,1    ,0    ,0    ,100.00   ,WB
325.   ,Ernie Shaw                  ,1    ,1    ,0    ,0    ,100.00   ,ME
326.   ,Luke Brown                  ,1    ,1    ,0    ,0    ,100.00   ,FI
327.   ,Park Krygger                ,1    ,1    ,0    ,0    ,100.00   ,WB
328.   ,John Elmer                  ,1    ,1    ,0    ,0    ,100.00   ,SY
329.   ,Roy Parkin                  ,1    ,1    ,0    ,0    ,100.00   ,RI
330.   ,Albert Strange              ,1    ,1    ,0    ,0    ,100.00   ,SK
331.   ,David Hume                  ,1    ,1    ,0    ,0    ,100.00   ,SY
332.   ,Allan Bouch                 ,1    ,1    ,0    ,0    ,100.00   ,RI
333.   ,Jack Bidgood                ,1    ,1    ,0    ,0    ,100.00   ,SK
334.   ,Ted Parker                  ,1    ,1    ,0    ,0    ,100.00   ,ME
335.   ,Lindsay Meeking             ,1    ,1    ,0    ,0    ,100.00   ,NM
336.   ,Roy Snell                   ,1    ,1    ,0    ,0    ,100.00   ,FI
337.   ,Doug Parks                  ,1    ,1    ,0    ,0    ,100.00   ,FI
338.   ,Jim Sutherland              ,1    ,1    ,0    ,0    ,100.00   ,SY
339.   ,Ted Sivies                  ,1    ,1    ,0    ,0    ,100.00   ,SY
340.   ,Gil Miller                  ,1    ,1    ,0    ,0    ,100.00   ,SY
341.   ,George Pennicott            ,1    ,1    ,0    ,0    ,100.00   ,SK
342.   ,Eric Donaldson              ,1    ,1    ,0    ,0    ,100.00   ,SK
343.   ,Graham Kemp                 ,1    ,1    ,0    ,0    ,100.00   ,CA
344.   ,Alwin Dalitz                ,1    ,1    ,0    ,0    ,100.00   ,FI
